   288
     64   64   64   64   64   64   64   70   80   84                 
     88   96  110  110  120  126  132  140  144  154                 
    160  168  176  180  192  192  198  210  220  220                 
    224  240  240  252  252  256  264  280  280  280                 
    288  308  308  308  320  320  330  336  352  352                 
    352  360  384  384  384  384  396  396  420  420                 
    420  420  440  440  440  448  448  462  462  480                 
    480  480  504  504  504  504  512  528  528  528                 
    560  560  560  560  560  560  576  576  616  616                 
    616  616  616  616  616  616  630  630  640  640                 
    660  660  660  660  672  672  704  704  704  704                 
    704  704  720  720  720  768  768  768  768  768                 
    768  768  768  768  768  792  792  792  792  792                 
    840  840  840  840  840  840  840  840  840  840                 
    880  880  880  880  880  880  880  880  880  880                 
    896  896  896  896  924  924  924  924  924  924                 
    960  960  960  960  960  960  960  960  960  960                 
    990  990  990  990  990  990  990  990 1008 1008                 
   1008 1008 1008 1008 1024 1024 1024 1024 1024 1024                 
   1056 1056 1056 1056 1056 1056 1056 1056 1056 1056                 
   1120 1120 1120 1120 1120 1120 1120 1120 1120 1120                 
   1120 1120 1120 1120 1120 1120 1120 1120 1120 1120                 
   1120 1120 1120 1120 1120 1120 1120 1120 1120 1120                 
   1120 1152 1152 1152 1152 1152 1152 1152 1152 1152                 
   1152 1152 1152 1152 1152 1152 1152 1152 1152 1152                 
   1152 1152 1152 1152 1152 1152 1152 1152 1152 1152                 
   1152 1152 1152 1152 1152 1152 1152 1152 1152 1152                 
   1152 1152 1152 1152 1152 1152 1152 1152 1152 1152                 
   1152 1152 1152 1152 1152 1152 1152 1152
